City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
1,Rikitea,PF,76.23,clear sky,-23.1203,-134.9692,People ThankYou
2,Yulara,AU,73.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
3,Abu Dhabi,AE,75.96,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
4,Atuona,PF,78.44,light rain,-9.8,-139.0333,Villa Enata
5,Filingue,NE,85.35,few clouds,14.3521,3.3168,
6,Cabedelo,BR,88.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
7,Alyangula,AU,76.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
8,Sulangan,PH,81.25,overcast clouds,11.1373,123.7228,Maia's Beach Resort
9,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Buala,SB,79.29,light rain,-8.145,159.5921,Maringe Lagoon Lodge
11,Kapaa,US,76.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Hilo,US,81.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
14,Jambi,ID,74.86,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
15,Meulaboh,ID,77.22,overcast clouds,4.1363,96.1285,Kost Pria
16,Bonfim,BR,82.35,overcast clouds,3.0833,-59.95,
17,Lazaro Cardenas,MX,83.97,clear sky,17.9583,-102.2,quinta antigua
18,Kamakwie,SL,85.03,overcast clouds,9.5,-12.2333,White House Hotel
19,Avarua,CK,78.85,moderate rain,-21.2078,-159.775,Paradise Inn
20,Carnarvon,AU,69.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
21,Totness,SR,80.87,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
22,Orangeburg,US,74.48,clear sky,33.4918,-80.8557,Palmetto Inn & Suites
23,Chuy,UY,68.67,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
24,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
25,Half Moon Bay,US,66.97,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
26,Aripuana,BR,78.51,overcast clouds,-9.1667,-60.6333,
27,Hamilton,US,65.88,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
28,Saint-Philippe,RE,78.35,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
29,Male,MV,82.35,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
30,Tuy Hoa,VN,70.39,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
31,Bengkulu,ID,76.46,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
32,Kahului,US,76.26,clear sky,20.8947,-156.47,Maui Seaside Hotel
33,Coahuayana,MX,87.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
34,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
35,Mabaruma,GY,87.8,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
36,Santa Maria,BR,81.7,scattered clouds,-29.6842,-53.8069,Hotel Morotin
37,Hambantota,LK,78.17,clear sky,6.1241,81.1185,Bungalow 63
38,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
39,Pizarro,CO,79.92,light rain,4.9533,-77.366,Hotel Limonar
40,Nikki,BJ,82.85,broken clouds,9.9401,3.2108,Hotel John
41,Kant,IN,66.54,overcast clouds,27.8,79.8,Haseeb Khan shatreng
42,Valparaiso,CL,66.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
43,Luganville,VU,78.98,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
44,Eloy,US,82.09,few clouds,32.7559,-111.5548,Eloy RV & Mobile Home Park
45,Praxedis Guerrero,MX,66.42,broken clouds,31.3667,-106.0167,Congregación placitas de Otero
46,Ambilobe,MG,78.48,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
47,Pacific Grove,US,72.63,fog,36.6177,-121.9166,Lovers Point Inn
48,Caravelas,BR,81.1,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
49,San Patricio,US,82.02,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
50,Dalby,AU,67.98,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
51,Butaritari,KI,81.39,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
52,Sur,OM,73.27,clear sky,22.5667,59.5289,Sur Plaza Hotel
53,Sunyani,GH,82.9,few clouds,7.3399,-2.3268,Nass Lodge
54,Cabo San Lucas,MX,85.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
55,Namibe,AO,71.26,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
56,Koforidua,GH,81.09,scattered clouds,6.0941,-0.2591,Ajaria Royal Palace Hotel
57,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
58,Pasni,PK,75.56,clear sky,25.2631,63.471,Kashmiri Hotal
59,Nuevo Progreso,MX,82.89,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
60,Victoria,HK,65.25,clear sky,22.2855,114.1577,Mini Hotel Central
61,Clarksville,US,70.54,clear sky,36.5298,-87.3595,Riverview Inn
62,Camopi,GF,73.85,light rain,3.1655,-52.3158,La pousada
63,Villa Carlos Paz,AR,83.48,scattered clouds,-31.4241,-64.4978,Monte Carlo
64,Bata,GQ,79.7,moderate rain,1.8639,9.7658,Hotel Elik Melen
65,Nioro,GM,87.1,clear sky,13.35,-15.75,
66,Yaan,NG,84.04,scattered clouds,7.3833,8.5667,
67,Saint George,US,68.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
68,Kudahuvadhoo,MV,81.48,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
69,Kavieng,PG,81.77,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
70,Mahebourg,MU,79.09,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
71,Hithadhoo,MV,81.82,overcast clouds,-0.6,73.0833,Scoop Guest House
72,Atar,MR,73.06,overcast clouds,20.5169,-13.0499,Oumou Elghoura
73,Batemans Bay,AU,67.1,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
74,Mar Del Plata,AR,68.02,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
75,Tigre,AR,83.19,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
76,Den Chai,TH,67.6,overcast clouds,17.9837,100.0522,Ruean Saen Hotel
77,Sao Filipe,CV,75.43,overcast clouds,14.8961,-24.4956,Hotel Xaguate
78,Hualmay,PE,70.97,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
79,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
80,Hirara,JP,66.74,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
81,Liwale,TZ,70.75,clear sky,-9.7667,37.9333,Samoma lodge
82,Nosy Varika,MG,76.19,broken clouds,-20.5833,48.5333,Hotel Volazara
83,Byron Bay,AU,74.05,overcast clouds,-28.65,153.6167,Backpackers Inn
84,Sola,VU,78.67,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
85,Buenavista,PH,76.62,light rain,8.9769,125.4089,Room For Rent
86,Paoua,CF,79.56,broken clouds,7.2427,16.4406,Quartier Paoua Elien
87,Sao Gabriel Da Cachoeira,BR,84.0,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
88,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
89,Vilhena,BR,86.22,scattered clouds,-12.7406,-60.1458,Hotel Mirage
90,Porbandar,IN,70.75,clear sky,21.6422,69.6093,Lords Inn Porbandar
91,Benito Juarez,MX,70.14,clear sky,19.385,-99.165,Hotel Novit
92,Lorengau,PG,80.6,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
93,Vao,NC,75.9,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
94,Laguna,US,77.65,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
95,Babai,IN,65.35,overcast clouds,22.7,77.9333,G loading service babai
96,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
97,Nabire,ID,75.67,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
98,Cockburn Town,TC,80.96,clear sky,21.4612,-71.1419,Osprey Beach Hotel
99,Wahiawa,US,75.79,scattered clouds,21.5028,-158.0236,Aloha Wahiawa
100,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
101,Labuhan,ID,77.58,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
102,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
103,Carutapera,BR,83.03,scattered clouds,-1.195,-46.02,Lidera
104,Marsassoum,SN,87.89,clear sky,12.8275,-15.9806,Djinoubor keur Samba ba
105,Castro,BR,79.92,few clouds,-24.7911,-50.0119,CHACARA BAILLY
106,Nsanje,MW,79.14,scattered clouds,-16.92,35.262,Nsanje Discovery Lodge
107,Wattegama,LK,74.21,overcast clouds,6.7989,81.4808,
108,Biak,ID,78.03,overcast clouds,-0.9131,122.8766,Penginapan Kim
109,Aquiraz,BR,89.22,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
110,Namatanai,PG,79.63,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
111,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
112,Touros,BR,88.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
113,Ambon,ID,75.34,heavy intensity rain,-3.6954,128.1814,Swiss-Belhotel Ambon
114,Vila Franca Do Campo,PT,66.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
115,Scottsbluff,US,72.28,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
116,Vallenar,CL,84.06,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
117,Taoudenni,ML,73.22,overcast clouds,22.6783,-3.9836,
118,Rafai,CF,74.68,overcast clouds,4.95,23.9167,
119,Huarmey,PE,71.92,broken clouds,-10.0681,-78.1522,Hotel Miramar
120,Lompoc,US,81.09,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
121,Oranjestad,AW,85.95,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
122,Menongue,AO,68.49,broken clouds,-14.6585,17.691,Ritz Lauca
123,Tabat,ID,73.78,overcast clouds,-2.635,115.2274,Perumahan PNS Senga Permai
124,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
125,Kieta,PG,78.15,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
126,Bloemhof,ZA,73.71,overcast clouds,-27.6469,25.607,Victory Towers
