City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Bambous Virieux,-20.3428,57.7575,79.21,83,75,9.22,MU,2021-12-02 18:25:44,light rain
1,Rikitea,-23.1203,-134.9692,76.23,75,8,18.16,PF,2021-12-02 18:25:45,clear sky
2,Yulara,-25.2406,130.9889,73.24,28,2,5.75,AU,2021-12-02 18:25:46,clear sky
3,Abu Dhabi,24.4667,54.3667,75.96,69,0,3.44,AE,2021-12-02 18:25:47,clear sky
4,Atuona,-9.8,-139.0333,78.44,78,92,21.43,PF,2021-12-02 18:25:47,light rain
5,Filingue,14.3521,3.3168,85.35,13,17,7.4,NE,2021-12-02 18:25:48,few clouds
6,Ushuaia,-54.8,-68.3,49.66,62,0,17.27,AR,2021-12-02 18:21:36,clear sky
7,Cabedelo,-6.9811,-34.8339,88.47,65,100,12.06,BR,2021-12-02 18:25:49,overcast clouds
8,Bluff,-46.6,168.3333,56.8,95,100,2.75,NZ,2021-12-02 18:25:50,light rain
9,Jamestown,42.097,-79.2353,52.02,74,90,13.0,US,2021-12-02 18:22:12,overcast clouds
10,Sovetskiy,61.3614,63.5842,9.01,96,99,4.16,RU,2021-12-02 18:25:51,overcast clouds
11,Lagoa,39.05,-27.9833,64.11,81,12,6.26,PT,2021-12-02 18:22:50,few clouds
12,Alyangula,-13.8483,136.4192,76.87,100,99,1.14,AU,2021-12-02 18:25:52,overcast clouds
13,Sulangan,11.1373,123.7228,81.25,78,97,23.87,PH,2021-12-02 18:25:53,overcast clouds
14,East London,-33.0153,27.9116,61.74,88,20,10.36,ZA,2021-12-02 18:20:56,few clouds
15,Zyryanka,65.75,150.85,-19.55,97,100,27.38,RU,2021-12-02 18:25:55,light snow
16,Saskylakh,71.9167,114.0833,-43.35,100,83,3.02,RU,2021-12-02 18:25:55,broken clouds
17,Henties Bay,-22.116,14.2845,60.85,81,2,8.59,NA,2021-12-02 18:25:56,clear sky
18,Cadiz,36.5,-5.75,54.75,67,24,3.15,ES,2021-12-02 18:24:53,few clouds
19,Puerto Ayora,-0.7393,-90.3518,76.96,79,52,10.56,EC,2021-12-02 18:25:58,broken clouds
20,Buala,-8.145,159.5921,79.29,80,80,2.08,SB,2021-12-02 18:25:58,light rain
21,Kapaa,22.0752,-159.319,76.19,86,40,1.99,US,2021-12-02 18:26:00,scattered clouds
22,Hilo,19.7297,-155.09,81.28,81,20,0.0,US,2021-12-02 18:26:00,few clouds
23,Aklavik,68.2191,-135.0107,-18.4,69,40,12.66,CA,2021-12-02 18:26:02,scattered clouds
24,Barcelos,41.5388,-8.6151,50.85,74,13,7.7,PT,2021-12-02 18:26:03,few clouds
25,Serafimovich,49.5786,42.736,26.62,88,57,11.23,RU,2021-12-02 18:26:04,broken clouds
26,Vaini,-21.2,-175.2,77.16,83,40,9.22,TO,2021-12-02 18:26:05,scattered clouds
27,Tuktoyaktuk,69.4541,-133.0374,-16.6,69,75,14.97,CA,2021-12-02 18:26:05,broken clouds
28,Christchurch,-43.5333,172.6333,60.91,92,90,4.0,NZ,2021-12-02 18:26:07,overcast clouds
29,Jambi,-1.6,103.6167,74.86,97,98,2.44,ID,2021-12-02 18:26:07,overcast clouds
30,Meulaboh,4.1363,96.1285,77.22,89,99,5.3,ID,2021-12-02 18:26:08,overcast clouds
31,Bonfim,3.0833,-59.95,82.35,74,100,7.27,BR,2021-12-02 18:26:09,overcast clouds
32,Lazaro Cardenas,17.9583,-102.2,83.97,68,0,5.17,MX,2021-12-02 18:26:10,clear sky
33,Kamakwie,9.5,-12.2333,85.03,61,89,2.98,SL,2021-12-02 18:26:10,overcast clouds
34,Albany,42.6001,-73.9662,51.28,90,100,1.01,US,2021-12-02 18:26:12,overcast clouds
35,Avarua,-21.2078,-159.775,78.85,78,75,18.41,CK,2021-12-02 18:26:13,moderate rain
36,Thompson,55.7435,-97.8558,-11.04,70,75,2.3,CA,2021-12-02 18:26:13,broken clouds
37,Talnakh,69.4865,88.3972,-4.13,88,100,3.87,RU,2021-12-02 18:26:14,overcast clouds
38,Carnarvon,-24.8667,113.6333,69.87,78,40,19.57,AU,2021-12-02 18:26:15,scattered clouds
39,Busselton,-33.65,115.3333,54.05,78,0,14.54,AU,2021-12-02 18:26:16,clear sky
40,Totness,5.8833,-56.3167,80.87,80,83,9.69,SR,2021-12-02 18:26:17,broken clouds
41,Punta Arenas,-53.15,-70.9167,51.91,62,75,18.41,CL,2021-12-02 18:26:18,broken clouds
42,Hofn,64.2539,-15.2082,39.79,71,100,10.94,IS,2021-12-02 18:26:18,overcast clouds
43,Orangeburg,33.4918,-80.8557,74.48,47,1,10.36,US,2021-12-02 18:26:19,clear sky
44,Port Macquarie,-31.4333,152.9167,63.9,92,52,4.43,AU,2021-12-02 18:26:20,broken clouds
45,Chuy,-33.6971,-53.4616,68.67,59,76,11.68,UY,2021-12-02 18:26:21,broken clouds
46,Yellowknife,62.456,-114.3525,0.41,91,75,9.22,CA,2021-12-02 18:26:22,broken clouds
47,Nikolskoye,59.7035,30.7861,17.49,97,100,3.96,RU,2021-12-02 18:26:23,overcast clouds
48,Port Alfred,-33.5906,26.891,64.67,76,85,17.67,ZA,2021-12-02 18:27:23,overcast clouds
49,Isangel,-19.55,169.2667,78.91,83,75,11.5,VU,2021-12-02 18:27:24,broken clouds
50,Half Moon Bay,37.4636,-122.4286,66.97,76,1,9.22,US,2021-12-02 18:27:24,haze
51,Aripuana,-9.1667,-60.6333,78.51,93,99,2.19,BR,2021-12-02 18:27:25,overcast clouds
52,Hamilton,39.1834,-84.5333,65.88,59,75,4.0,US,2021-12-02 18:25:32,broken clouds
53,Bredasdorp,-34.5322,20.0403,57.27,74,38,7.43,ZA,2021-12-02 18:27:25,scattered clouds
54,Dikson,73.5069,80.5464,-7.02,96,100,1.74,RU,2021-12-02 18:27:26,overcast clouds
55,Kenai,60.5544,-151.2583,15.15,84,20,0.0,US,2021-12-02 18:24:04,light snow
56,Saint-Philippe,-21.3585,55.7679,78.35,84,44,13.62,RE,2021-12-02 18:23:10,light rain
57,Barrow,71.2906,-156.7887,-9.38,77,90,3.44,US,2021-12-02 18:27:27,haze
58,Mataura,-46.1927,168.8643,56.48,92,99,0.69,NZ,2021-12-02 18:27:27,overcast clouds
59,Male,4.1748,73.5089,82.35,83,40,3.44,MV,2021-12-02 18:27:28,scattered clouds
60,Nome,64.5011,-165.4064,-14.73,76,1,0.0,US,2021-12-02 18:25:35,clear sky
61,Constitucion,-35.3333,-72.4167,63.81,64,100,15.23,CL,2021-12-02 18:27:28,overcast clouds
62,Tuy Hoa,13.0833,109.3,70.39,81,98,11.1,VN,2021-12-02 18:27:29,overcast clouds
63,Bengkulu,-3.8004,102.2655,76.46,86,87,4.41,ID,2021-12-02 18:27:29,overcast clouds
64,Smithers,54.7804,-127.1743,25.12,74,40,6.91,CA,2021-12-02 18:27:29,scattered clouds
65,Tiksi,71.6872,128.8694,-29.65,100,82,2.06,RU,2021-12-02 18:24:13,broken clouds
66,Hermanus,-34.4187,19.2345,62.91,72,12,13.82,ZA,2021-12-02 18:27:30,few clouds
67,Kahului,20.8947,-156.47,76.26,78,1,0.0,US,2021-12-02 18:22:32,clear sky
68,Coahuayana,18.7333,-103.6833,87.28,52,1,5.19,MX,2021-12-02 18:27:31,clear sky
69,Esperance,-33.8667,121.9,60.64,72,98,13.04,AU,2021-12-02 18:27:31,overcast clouds
70,Pangnirtung,66.1451,-65.7125,15.8,73,90,2.3,CA,2021-12-02 18:27:32,light snow
71,Tasiilaq,65.6145,-37.6368,8.44,89,60,9.91,GL,2021-12-02 18:27:32,broken clouds
72,Talcahuano,-36.7167,-73.1167,62.28,67,0,3.44,CL,2021-12-02 18:23:38,clear sky
73,Codrington,-38.2667,141.9667,53.51,85,53,3.78,AU,2021-12-02 18:27:33,broken clouds
74,Aykhal,66.0,111.5,-29.87,100,18,3.91,RU,2021-12-02 18:27:33,few clouds
75,Evensk,61.95,159.2333,16.05,87,100,7.87,RU,2021-12-02 18:27:34,light snow
76,Severo-Kurilsk,50.6789,156.125,33.04,72,88,38.07,RU,2021-12-02 18:27:34,overcast clouds
77,Marawi,7.9986,124.2928,66.65,97,95,1.05,PH,2021-12-02 18:25:16,overcast clouds
78,Ust-Nera,64.5667,143.2,-19.77,99,100,6.67,RU,2021-12-02 18:27:35,light snow
79,Mabaruma,8.2,-59.7833,87.8,62,40,18.41,GY,2021-12-02 18:27:36,scattered clouds
80,New Norfolk,-42.7826,147.0587,53.1,73,31,3.0,AU,2021-12-02 18:27:37,scattered clouds
81,Santa Maria,-29.6842,-53.8069,81.7,42,40,11.5,BR,2021-12-02 18:27:37,scattered clouds
82,Kenora,49.8167,-94.4337,24.78,86,90,2.3,CA,2021-12-02 18:27:37,overcast clouds
83,Cuiluan,47.72,128.648,-3.96,98,63,3.91,CN,2021-12-02 18:27:38,broken clouds
84,Shimoda,34.6667,138.95,45.1,69,1,7.25,JP,2021-12-02 18:27:38,clear sky
85,Zhigansk,66.7697,123.3711,-40.67,97,57,10.16,RU,2021-12-02 18:27:39,broken clouds
86,Portland,45.5234,-122.6762,54.81,84,75,1.99,US,2021-12-02 18:24:54,broken clouds
87,Hambantota,6.1241,81.1185,78.17,83,5,1.41,LK,2021-12-02 18:27:40,clear sky
88,Santa Cruz,-17.8,-63.1667,78.26,83,75,18.41,BO,2021-12-02 18:25:28,broken clouds
89,Hobart,-42.8794,147.3294,53.46,81,45,9.22,AU,2021-12-02 18:27:40,scattered clouds
90,Pizarro,4.9533,-77.366,79.92,83,91,8.41,CO,2021-12-02 18:27:41,light rain
91,Marystown,47.1666,-55.1483,45.86,100,49,3.0,CA,2021-12-02 18:27:41,scattered clouds
92,Nikki,9.9401,3.2108,82.85,20,78,4.47,BJ,2021-12-02 18:28:41,broken clouds
93,Kant,27.8,79.8,66.54,35,100,9.89,IN,2021-12-02 18:28:42,overcast clouds
94,Baykit,61.67,96.37,17.53,96,100,3.8,RU,2021-12-02 18:28:43,snow
95,Valparaiso,-33.0393,-71.6273,66.43,66,0,8.05,CL,2021-12-02 18:28:30,clear sky
