City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Avarua,-21.2078,-159.775,75.25,94,75,8.05,CK,2021-11-28 03:31:55
1,Esperance,-33.8667,121.9,89.44,41,0,4.92,AU,2021-11-28 03:31:55
2,Beroroha,-21.6667,45.1667,76.48,54,0,8.75,MG,2021-11-28 03:31:56
3,Fereydun Kenar,36.6864,52.5225,56.28,77,34,8.9,IR,2021-11-28 03:31:56
4,Cape Town,-33.9258,18.4232,63.01,94,75,16.11,ZA,2021-11-28 03:30:54
5,Samarai,-10.6167,150.6667,83.8,73,100,8.72,PG,2021-11-28 03:31:21
6,Sisimiut,66.9395,-53.6735,27.46,89,100,10.18,GL,2021-11-28 03:31:57
7,Rikitea,-23.1203,-134.9692,76.37,78,68,16.73,PF,2021-11-28 03:31:58
8,Yellowknife,62.456,-114.3525,-17.88,76,1,5.75,CA,2021-11-28 03:31:58
9,Khatanga,71.9667,102.5,-8.73,95,100,12.59,RU,2021-11-28 03:31:58
10,Punta Arenas,-53.15,-70.9167,53.71,47,90,16.11,CL,2021-11-28 03:29:49
11,Mar Del Plata,-38.0023,-57.5575,62.19,91,100,14.25,AR,2021-11-28 03:31:59
12,New Norfolk,-42.7826,147.0587,65.7,33,0,3.24,AU,2021-11-28 03:27:14
13,Masterton,-40.9597,175.6575,64.38,73,100,2.57,NZ,2021-11-28 03:32:00
14,Atuona,-9.8,-139.0333,78.73,73,100,18.97,PF,2021-11-28 03:28:41
15,Busselton,-33.65,115.3333,83.71,41,70,11.61,AU,2021-11-28 03:32:01
16,Carnarvon,-24.8667,113.6333,89.67,45,0,12.66,AU,2021-11-28 03:32:01
17,Jamestown,42.097,-79.2353,29.52,93,90,5.75,US,2021-11-28 03:32:02
18,Corowa,-36.0333,146.3833,71.92,35,0,1.1,AU,2021-11-28 03:32:02
19,Ribeira Grande,38.5167,-28.7,61.38,63,67,5.08,PT,2021-11-28 03:32:03
20,Fort Nelson,58.8053,-122.7002,8.19,85,90,10.36,CA,2021-11-28 03:32:03
21,Bredasdorp,-34.5322,20.0403,66.7,74,85,15.43,ZA,2021-11-28 03:32:04
22,Rudnichnyy,59.617,52.4703,30.07,87,100,11.63,RU,2021-11-28 03:32:04
23,Arraial Do Cabo,-22.9661,-42.0278,72.88,88,29,4.18,BR,2021-11-28 03:32:05
24,Lompoc,34.6391,-120.4579,59.14,66,1,3.44,US,2021-11-28 03:32:06
25,Ancud,-41.8697,-73.8203,51.33,82,34,6.13,CL,2021-11-28 03:32:06
26,Quatre Cocos,-20.2078,57.7625,75.31,66,0,10.16,MU,2021-11-28 03:32:06
27,Athabasca,54.7169,-113.2854,30.02,79,95,9.55,CA,2021-11-28 03:30:17
28,Mao,39.8885,4.2658,41.56,100,20,4.61,ES,2021-11-28 03:28:32
29,Chokurdakh,70.6333,147.9167,-31.14,99,100,1.34,RU,2021-11-28 03:32:07
30,Ahipara,-35.1667,173.1667,68.58,62,88,5.06,NZ,2021-11-28 03:32:08
31,Bethel,41.3712,-73.414,34.16,47,1,6.91,US,2021-11-28 03:27:43
32,Vaini,-21.2,-175.2,84.36,84,75,11.5,TO,2021-11-28 03:32:09
33,Tuktoyaktuk,69.4541,-133.0374,-9.4,77,90,20.71,CA,2021-11-28 03:32:09
34,Saint George,37.1041,-113.5841,52.39,22,1,0.0,US,2021-11-28 03:27:46
35,Port Alfred,-33.5906,26.891,67.28,67,63,8.97,ZA,2021-11-28 03:32:10
36,Sao Jose Da Coroa Grande,-8.8978,-35.1478,80.06,69,100,10.71,BR,2021-11-28 03:32:10
37,Albany,42.6001,-73.9662,26.47,74,45,5.55,US,2021-11-28 03:32:11
38,Saint Anthony,45.0205,-93.218,36.55,67,1,9.22,US,2021-11-28 03:32:11
39,Rawson,-43.3002,-65.1023,56.26,81,0,5.37,AR,2021-11-28 03:32:12
40,Nikolskoye,59.7035,30.7861,28.29,94,100,10.49,RU,2021-11-28 03:32:12
41,Imatra,61.1719,28.7524,17.98,78,100,13.91,FI,2021-11-28 03:32:13
42,Touros,-5.1989,-35.4608,79.7,73,96,11.88,BR,2021-11-28 03:32:13
43,Hailar,49.2,119.7,15.04,83,94,5.64,CN,2021-11-28 03:32:14
44,Hasaki,35.7333,140.8333,57.49,45,1,13.91,JP,2021-11-28 03:33:14
45,Camacha,33.0833,-16.3333,60.22,77,40,16.11,PT,2021-11-28 03:33:15
46,Hobart,-42.8794,147.3294,66.06,52,20,16.11,AU,2021-11-28 03:31:59
47,Lieksa,63.3167,30.0167,13.77,96,100,10.11,FI,2021-11-28 03:33:15
48,Taga,46.95,24.05,35.92,85,98,3.56,RO,2021-11-28 03:33:16
49,Hermanus,-34.4187,19.2345,65.1,87,97,15.37,ZA,2021-11-28 03:33:16
50,Barrow,71.2906,-156.7887,-9.38,70,90,5.75,US,2021-11-28 03:33:17
51,Sitka,57.0531,-135.33,35.49,93,90,3.44,US,2021-11-28 03:33:17
52,Mataura,-46.1927,168.8643,69.22,30,0,6.08,NZ,2021-11-28 03:33:18
53,Arica,-18.475,-70.3042,64.63,77,0,3.44,CL,2021-11-28 03:33:18
54,Hilo,19.7297,-155.09,76.73,69,75,5.75,US,2021-11-28 03:32:08
55,East London,-33.0153,27.9116,63.54,94,0,6.91,ZA,2021-11-28 03:32:02
56,Farafangana,-22.8167,47.8333,69.85,64,99,10.45,MG,2021-11-28 03:33:19
